"GEOID_JOIN","STATE_NAME","COUNTRY_NAME","hh_targeted","hh_adopted","avg_adoption_prob","capital_retained","remittance_prevented","tax_credit_cost","yield_income","adoption_rate","net_govt_benefit","roi_ratio"
"4802308","Texas","Mexico",6,1,0.11,3251.2,4266.0,487.68,536.45,0.167,3778.32,6.67
"0920601","Connecticut","Mexico",4,1,0.12,3236.0,4266.0,485.4,533.94,0.25,3780.6,6.67
"0600300","California","Mexico",5,1,0.11,3232.8,4266.0,484.92,533.41,0.2,3781.08,6.67
"1800402","Indiana","Mexico",1,1,0.1,3216.0,4266.0,482.4,530.64,1.0,3783.6,6.67
"5311504","Washington","Mexico",3,2,0.12,3208.8,8532.0,481.32,529.45,0.667,8050.68,6.67
"1800502","Indiana","Mexico",3,1,0.13,3200.0,8058.0,480.0,528.0,0.333,7578.0,6.67
"1301100","Georgia","Mexico",7,1,0.12,3200.0,4266.0,480.0,528.0,0.143,3786.0,6.67
"1301300","Georgia","Mexico",5,1,0.12,3200.0,4266.0,480.0,528.0,0.2,3786.0,6.67
"4500104","South Carolina","Mexico",3,1,0.12,3200.0,4266.0,480.0,528.0,0.333,3786.0,6.67
"2401102","Maryland","Mexico",3,1,0.12,3200.0,15721.0,480.0,528.0,0.333,15241.0,6.67
"3401402","New Jersey","El Salvador",10,1,0.11,3200.0,5824.0,480.0,528.0,0.1,5344.0,6.67
"3100400","Nebraska","Mexico",2,1,0.12,3200.0,8919.1,480.0,528.0,0.5,8439.1,6.67
"5311603","Washington","Mexico",1,1,0.11,3200.0,24426.8,480.0,528.0,1.0,23946.8,6.67
"3400906","New Jersey","Mexico",17,2,0.12,3200.0,16653.2,480.0,528.0,0.118,16173.2,6.67
"0101202","Alabama","Bangladesh",2,1,0.11,3200.0,5053.0,480.0,528.0,0.5,4573.0,6.67
"4804611","Texas","Mexico",30,2,0.12,3200.0,10586.0,480.0,528.0,0.067,10106.0,6.67
"0802006","Colorado","Mexico",2,1,0.12,3196.8,4266.0,479.52,527.47,0.5,3786.48,6.67
"1300100","Georgia","Mexico",6,2,0.12,3160.0,11186.4,474.0,521.4,0.333,10712.4,6.67
"0606712","California","India",1,1,0.1,3160.0,5642.0,474.0,521.4,1.0,5168.0,6.67
"3900200","Ohio","Mexico",4,2,0.11,3140.0,8532.0,471.0,518.1,0.5,8061.0,6.67
"4701300","Tennessee","Mexico",3,1,0.1,3120.0,14409.6,468.0,514.8,0.333,13941.6,6.67
"5310701","Washington","India",1,1,0.12,3120.0,5642.0,468.0,514.8,1.0,5174.0,6.67
"0900104","Connecticut","Mexico",7,1,0.12,3120.0,4676.8,468.0,514.8,0.143,4208.8,6.67
"4804100","Texas","Mexico",12,2,0.12,3120.0,10886.2,468.0,514.8,0.167,10418.2,6.67
"3603106","New York","Mexico",5,1,0.13,3120.0,18075.2,468.0,514.8,0.2,17607.2,6.67
"0605906","California","Mexico",23,2,0.11,3120.0,9448.4,468.0,514.8,0.087,8980.4,6.67
"0400119","Arizona","Mexico",48,7,0.11,3116.0,46878.6,467.4,514.14,0.146,46411.2,6.67
"1211501","Florida","Mexico",6,2,0.12,3112.8,19276.0,466.92,513.61,0.333,18809.08,6.67
"0608701","California","Mexico",35,3,0.12,3108.8,20524.2,466.32,512.95,0.086,20057.88,6.67
"0606707","California","Mexico",12,1,0.12,3108.0,4266.0,466.2,512.82,0.083,3799.8,6.67
"4500101","South Carolina","India",3,2,0.09,3092.0,12266.8,463.8,510.18,0.667,11803.0,6.67
"4801501","Texas","Mexico",5,1,0.12,3086.4,4266.0,462.96,509.26,0.2,3803.04,6.67
"4105103","Oregon","Mexico",1,1,0.12,3084.0,4266.0,462.6,508.86,1.0,3803.4,6.67
"2600700","Michigan","Philippines",1,1,0.13,3060.0,6336.0,459.0,504.9,1.0,5877.0,6.67
"1207103","Florida","El Salvador",6,2,0.12,3060.0,21894.6,459.0,504.9,0.333,21435.6,6.67
